NAME                                        READY   STATUS             RESTARTS        AGE     IP            NODE                 NOMINATED NODE   READINESS GATES
hitl-ui-6c8d594785-8bgvh                    0/1     ImagePullBackOff   0               2d2h    10.244.0.8    kind-control-plane   <none>           <none>
hitl-ui-8475fbcc86-vzs4l                    0/1     ImagePullBackOff   0               2d1h    10.244.0.7    kind-control-plane   <none>           <none>
jsz                                         0/1     Error              0               42h     <none>        kind-control-plane   <none>           <none>
nats-5dd9767556-m9qvj                       1/1     Running            1 (10h ago)     2d2h    10.244.0.6    kind-control-plane   <none>           <none>
nats-backlog                                0/1     Completed          0               8h      10.244.0.46   kind-control-plane   <none>           <none>
nats-box                                    0/1     ImagePullBackOff   0               2d14h   10.244.0.3    kind-control-plane   <none>           <none>
nats-ci-25846                               0/1     Completed          0               37h     <none>        kind-control-plane   <none>           <none>
nats-prometheus-exporter-549bcbfbbb-t8dxp   1/1     Running            0               9h      10.244.0.45   kind-control-plane   <none>           <none>
nats-worker-59696865b4-8f4rg                2/2     Running            0               9h      10.244.0.33   kind-control-plane   <none>           <none>
orchestrator-75d9b8b9b7-sc6v8               1/1     Running            1 (10h ago)     22h     10.244.0.9    kind-control-plane   <none>           <none>
otel-collector-58bd468b8b-kgbg9             1/1     Running            2 (10h ago)     3d13h   10.244.0.24   kind-control-plane   <none>           <none>
pgvector-0                                  0/1     ImagePullBackOff   0               5d10h   10.244.0.16   kind-control-plane   <none>           <none>
temporal-worker-58cf77c66f-5prbs            0/1     Init:0/1           1               5d10h   10.244.0.26   kind-control-plane   <none>           <none>
temporal-worker-76649f885c-9xzcl            0/1     Error              113             5d15h   10.244.0.25   kind-control-plane   <none>           <none>
temporalite-ff65f8bdb-bjhvx                 1/1     Running            4 (10h ago)     5d15h   10.244.0.14   kind-control-plane   <none>           <none>
tool-executor-5559b6bfcf-pkc95              1/1     Running            130 (99m ago)   2d3h    10.244.0.5    kind-control-plane   <none>           <none>
