NAME                                        READY   STATUS             RESTARTS         AGE     IP            NODE                 NOMINATED NODE   READINESS GATES
hitl-ui-6c8d594785-8bgvh                    0/1     ImagePullBackOff   0                3d      10.244.0.8    kind-control-plane   <none>           <none>
hitl-ui-8475fbcc86-vzs4l                    0/1     ImagePullBackOff   0                2d23h   10.244.0.7    kind-control-plane   <none>           <none>
jsz                                         0/1     Error              0                2d16h   <none>        kind-control-plane   <none>           <none>
nats-5dd9767556-m9qvj                       1/1     Running            5 (13h ago)      3d      10.244.0.6    kind-control-plane   <none>           <none>
nats-backlog                                0/1     Completed          0                30h     10.244.0.46   kind-control-plane   <none>           <none>
nats-box                                    0/1     ImagePullBackOff   0                3d12h   10.244.0.3    kind-control-plane   <none>           <none>
nats-ci-25846                               0/1     Completed          0                2d12h   <none>        kind-control-plane   <none>           <none>
nats-prometheus-exporter-549bcbfbbb-t8dxp   1/1     Running            6 (4m15s ago)    31h     10.244.0.45   kind-control-plane   <none>           <none>
nats-worker-59696865b4-8f4rg                2/2     Running            5 (29m ago)      32h     10.244.0.33   kind-control-plane   <none>           <none>
orchestrator-75d9b8b9b7-sc6v8               1/1     Running            1 (32h ago)      45h     10.244.0.9    kind-control-plane   <none>           <none>
otel-collector-58bd468b8b-kgbg9             1/1     Running            2 (32h ago)      4d11h   10.244.0.24   kind-control-plane   <none>           <none>
pgvector-0                                  0/1     ImagePullBackOff   0                6d8h    10.244.0.16   kind-control-plane   <none>           <none>
temporal-worker-58cf77c66f-5prbs            0/1     Init:0/1           1                6d8h    10.244.0.26   kind-control-plane   <none>           <none>
temporal-worker-76649f885c-9xzcl            0/1     Error              113              6d13h   10.244.0.25   kind-control-plane   <none>           <none>
temporalite-ff65f8bdb-bjhvx                 1/1     Running            4 (32h ago)      6d13h   10.244.0.14   kind-control-plane   <none>           <none>
tool-executor-5559b6bfcf-pkc95              1/1     Running            142 (104m ago)   3d1h    10.244.0.5    kind-control-plane   <none>           <none>
