NAME                                        READY   STATUS             RESTARTS          AGE     IP            NODE                 NOMINATED NODE   READINESS GATES
hitl-ui-6c8d594785-8bgvh                    0/1     ImagePullBackOff   0                 4d22h   10.244.0.14   kind-control-plane   <none>           <none>
hitl-ui-8475fbcc86-vzs4l                    0/1     ErrImagePull       0                 4d21h   10.244.0.13   kind-control-plane   <none>           <none>
jsz                                         0/1     Error              0                 4d14h   <none>        kind-control-plane   <none>           <none>
nats-5dd9767556-57wv9                       1/1     Running            0                 15h     10.244.0.50   kind-control-plane   <none>           <none>
nats-backlog                                0/1     Completed          0                 3d4h    <none>        kind-control-plane   <none>           <none>
nats-box                                    0/1     ImagePullBackOff   0                 5d10h   10.244.0.11   kind-control-plane   <none>           <none>
nats-ci-25846                               0/1     Completed          0                 4d9h    <none>        kind-control-plane   <none>           <none>
nats-prometheus-exporter-549bcbfbbb-t8dxp   1/1     Running            11 (18h ago)      3d4h    10.244.0.21   kind-control-plane   <none>           <none>
nats-worker-59696865b4-pqjsw                2/2     Running            0                 18h     10.244.0.49   kind-control-plane   <none>           <none>
orchestrator-75d9b8b9b7-sc6v8               1/1     Running            2 (44h ago)       3d18h   10.244.0.16   kind-control-plane   <none>           <none>
otel-collector-58bd468b8b-kgbg9             1/1     Running            3 (44h ago)       6d9h    10.244.0.7    kind-control-plane   <none>           <none>
pgvector-0                                  0/1     ImagePullBackOff   0                 8d      10.244.0.4    kind-control-plane   <none>           <none>
temporal-worker-58cf77c66f-5prbs            0/1     CrashLoopBackOff   147 (3m51s ago)   8d      10.244.0.28   kind-control-plane   <none>           <none>
temporalite-ff65f8bdb-bjhvx                 1/1     Running            5 (44h ago)       8d      10.244.0.3    kind-control-plane   <none>           <none>
tool-executor-5559b6bfcf-pkc95              1/1     Running            161 (4h33m ago)   4d22h   10.244.0.17   kind-control-plane   <none>           <none>
