NAME                       READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS             IMAGES                                 SELECTOR
hitl-ui                    0/1     1            0           9d      hitl-ui                agentforge:latest                      app=hitl-ui
memory-rag                 0/1     1            0           33h     memory                 agentforge:latest                      app=memory-rag
nats                       1/1     1            1           10d     nats                   nats:2.10-alpine                       app=nats
nats-prometheus-exporter   1/1     1            1           5d6h    exporter               prometheus-nats-exporter:local         app=nats-prom-exporter
nats-worker                1/1     1            1           10d     worker,hitl-consumer   agentforge:latest,agentforge:latest    app=nats-worker
orchestrator               1/1     1            1           7d23h   orchestrator           agentforge:latest                      app=orchestrator
otel-collector             1/1     1            1           7d22h   otelcol                otel/opentelemetry-collector:0.100.0   app=otel-collector
temporal-worker            0/1     1            0           10d     worker                 agentforge:latest                      app=temporal-worker
temporalite                1/1     1            1           10d     temporalite            temporalite-local:latest               app=temporalite
tool-executor              1/1     1            1           7d23h   tool-executor          agentforge:latest                      app=tool-executor
